id,job_title,role,job_description,skills,qualifications,experience,cleaned_jd
1017340707950150,Procurement Manager,Supplier Diversity Manager,"Promote diversity and inclusion in the supply chain, manage supplier diversity programs, and assess supplier performance.",Supplier diversity programs Diversity and inclusion initiatives Supplier assessment and certification Data collection and reporting Vendor outreach and engagement Strategic planning Communication skills Relationship building Attention to diversity and inclusion principles,BBA,5 to 10 Years,promote diversity and inclusion in the supply chain manage supplier diversity programs and assess supplier performance
2421048253959975,Architectural Designer,Architectural Drafter,Architectural Drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures. They use computer-aided design (CAD) software to produce accurate and precise architectural drawings.,Architectural drafting AutoCAD 2D and 3D modeling Blueprint reading Building codes Collaboration with architects Detail-oriented,MBA,0 to 12 Years,architectural drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures they use computer aided design cad software to produce accurate and precise architectural drawings
1822636506606589,Art Teacher,Art Education Coordinator,"An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities.",Art education curriculum Program development Teacher training Communication skills Artistic expertise,M.Com,0 to 11 Years,an art education coordinator plans and manages art education programs curriculum development and educational outreach to promote art appreciation and learning within communities
3068000579894602,Environmental Consultant,Environmental Impact Analyst,"Environmental Impact Analysts assess the environmental consequences of projects or activities. They conduct studies, analyze data, and provide recommendations to minimize adverse environmental effects and promote sustainable practices.",Environmental impact analysis Data collection and analysis Environmental regulations Reporting GIS (Geographic Information Systems) Technical writing,B.Com,5 to 12 Years,environmental impact analysts assess the environmental consequences of projects or activities they conduct studies analyze data and provide recommendations to minimize adverse environmental effects and promote sustainable practices
1747904829392680,Art Teacher,Art Education Coordinator,"An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities.",Art education curriculum Program development Teacher training Communication skills Artistic expertise,BCA,4 to 13 Years,an art education coordinator plans and manages art education programs curriculum development and educational outreach to promote art appreciation and learning within communities
1891291129748729,Event Planner,Wedding Planner,"Wedding Planners specialize in organizing weddings, assisting couples with every aspect of wedding planning, from venue selection to catering and decor.",Wedding planning Venue selection Catering and menu planning Floral and decor design Wedding etiquette,MBA,5 to 10 Years,wedding planners specialize in organizing weddings assisting couples with every aspect of wedding planning from venue selection to catering and decor
2252571142854596,Architect,Architectural Designer,"Architectural Designers create architectural plans and designs for buildings and structures, considering aesthetics, functionality, and safety standards.","Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design",M.Com,3 to 11 Years,architectural designers create architectural plans and designs for buildings and structures considering aesthetics functionality and safety standards
2438881208917048,Family Lawyer,Mediator,Mediators facilitate negotiations and dispute resolution between parties in conflict. They remain neutral and help parties reach mutually acceptable agreements through effective communication and problem-solving techniques.,Mediation Conflict resolution Negotiation Communication skills Neutrality Problem-solving Legal knowledge Mediation techniques,BA,5 to 14 Years,mediators facilitate negotiations and dispute resolution between parties in conflict they remain neutral and help parties reach mutually acceptable agreements through effective communication and problem solving techniques
687428170224095,Account Manager,Client Relationship Manager,"Build and maintain strong client relationships, understand their needs, and ensure client satisfaction.",Client relationship management Customer service Communication skills,PhD,5 to 12 Years,build and maintain strong client relationships understand their needs and ensure client satisfaction
1690092345385690,Business Development Manager,Market Expansion Manager,"A Market Expansion Manager strategizes and executes plans to expand the companys presence in new markets, identifying growth opportunities and optimizing market penetration.",Market expansion strategies Market research Sales planning and execution,BBA,4 to 8 Years,a market expansion manager strategizes and executes plans to expand the companys presence in new markets identifying growth opportunities and optimizing market penetration
